SW Req ID,Title,Requirement,Rationale,Verification Method,Verification Statement
BPv6-001,Uniform Resource Identifier (URI) Scheme Specific Part,"The Scheme Specific Part of every URI defined within the InterPlaNet (""ipn"") scheme shall comprise: 1. The node number of the URI. 2. An American Standard Code for Information Interchange (ASCII) period ('.') character. 3. The service number of the URI.",The scheme-specific part is defined in RFC 6260 section 2.1. Following the same format between bundles will aid in consistency within the network.,Test,"This requirement is verified when a test receives a bundle, and the bundle is shown to contain URIs that follow the specified ""ipn"" scheme.\"
BPv6-002,Compressed Bundle Header Encoding (CBHE) Unit,A compressed primary block shall contain integers for its fields.,"The CBHE-compressed primary block is defined in RFC 6260 section 2.2. If the report-to endpoint value is the null endpoint, then that piece of the primary block is zero.",Inspection,"This requirement is verified when a code inspection shows that, when compressing a bundle, the primary block fields are integers.\"
BPv6-003,CBHE Encoding of Endpoint Identifications (EID) by Convergence Layer Adapters (CLAs),"A compressed primary block shall, in order, contain: 1. The node number of the destination endpoint ID. 2. The service number of the destination endpoint ID. 3. The node number of the source endpoint ID. 4. The service number of the source endpoint ID. 5. The node number of the report-to-endpoint ID. 6. The service number of the report-to-endpoint ID. 7. The node number of the current custodian endpoint ID. 8. The service number of the current custodian endpoint ID.","The CBHE-compressed primary block is defined in RFC 6260 section 2.2. If the report-to endpoint value is the null endpoint, then that piece of the primary block is zero.",Test,This requirement is verified when a test receives a bundle and confirms the compressed primary block contains each field in the specified order.\
BPv6-004,BP Time,DTN time shall consist of nanosecond precision since the start of the year 2000.,DTN time is defined in CCSDS 734.2-B-1 section 3.4 and RFC 5050 section 6.1. Time must be in the proper format down to the nanoseconds. The onboard system's precision can be used if the node's time system does not provide sufficient accuracy.,Test,This requirement is verified when a test receives a bundle and confirms that the DTN time within the bundle consists of the number of seconds since the start of the year 2000 and the number of nanoseconds since the beginning of the indicated second.\
BPv6-005,Licklider Transmission Protocol (LTP) Bundle Encapsulation,"When utilizing LTP bundles, the bundle shall be entirely contained in a single LTP session of red-data.","LTP transmission is defined in CCSDS 734.2-B-1 section B3.1.2.2. For reliable bundle transmission, bundles are encapsulated in LTP blocks containing only red-part (reliable) data in either of these two different encapsulations. Reliable transmission is a crucial component of a network. LTP blocks are organized according to the Client Operations section 7 of the LTP-for CCSDS Book.",Test,This requirement is verified when LTP bundles are shown to be encapsulated as an LTP single bundle block without leading and trailing bytes when the bundle is a single LTP bundle.\
BPv6-006,Single LTP Bundle Encapsulation,Bundles shall be encapsulated as a single bundle per LTP block with no leading or trailing bytes.,"LTP CL adaptor is detailed in section B3.1.2.2 in CCSDS 734.2-B-1. An LTP bundle block utilizes the Destination LTP Client Service ID for ""Bundle Protocol"" as specified in the SANA LTP Client Service ID Number Registry.",Test,"This requirement is verified when a bundle is shown to be encapsulated as a single bundle with ""single bundle per LTP block"" selected.\"
BPv6-007,User Datagram Protocol (UDP) Convergence Layer (CL) Adaptor,"When using the convergence layer, UDP-encapsulated bundles shall be in UDP datagrams.",UDP convergence layer adapter is defined in CCSDS 734.2-B-1 section B4; ensures network cohesion.,Test,"This requirement is verified when a test receives a bundle via the UDP convergence layer and confirms the bundle contains a single UDP datagram with a checksum, and the specified UDP port is utilized.\"
BPv6-008,BP Bundle Structure,Bundles shall utilize Self-Delimiting Numeric Values (SDNV) encoding.,Encoding must be decided upon to understand the header and data within the network. Self-Delimiting Numeric Values are the encoding for bundle fields for BPv6.,Test,This requirement is verified when a test receives a bundle and confirms the bundle is encapsulated with valid SDNV encoding.\
BPv6-009,BP Bundle Block Structure,Bundles shall be a concatenated sequence of two or more block structures.,Every bundle needs at least a payload block and a primary block per RFC 5050. A bundle can have additional blocks per request.,Test,This requirement is verified when an initiated bundle contains two or more concatenated block structures.\
BPv6-010,Primary Block Location,The first block in the bundle shall be the primary bundle block.,The location of the primary bundle block is defined in RFC 5050 section 4.,Test,This requirement is verified when an initiated bundle contains a primary bundle block in the bundle's first block.\
BPv6-011,Number of Primary Blocks,A bundle shall have one primary bundle block.,"The number of primary bundle blocks is defined in RFC 5050 section 4. All principal and required header information is placed in the primary bundle block. Therefore, having more would be redundant.",Test,This requirement is verified when a bundle is shown to have only one primary bundle block.\
BPv6-012,Last Block Flag,"The last block in the sequence shall have the ""Last block"" Block Processing Control Flag set to TRUE.","The ""last block"" flag is defined in RFC 5050 section 4. Setting this flag shows that the data stream is ending at the block. Therefore, this flag is set to FALSE for every block in the bundle after the primary block except the final block, which must be set to TRUE.",Test,"This requirement is verified when a bundle is analyzed, and the last block in the sequence has the ""last block"" flags set to TRUE.\"
BPv6-013,Custody Transfer Request Flag of an Administrative Record,The custody transfer requested flag shall be FALSE when the bundle is an administrative record.,Bundle processing control flags are defined in RFC 5050 section 4.2. Network management is necessary for determining the health and statistics of the network.,Test,This requirement is verified when a test receives an administrative record bundle and confirms the bundle has the custody transfer requested flag set to FALSE.\
BPv6-014,Status Report Request Flag of an Administrative Record,Status report request flags shall be FALSE when the bundle is an administrative record.,Bundle processing control flags are defined in RFC 5050 section 4.2. Network management is necessary for determining the health and statistics of the network.,Test,This requirement is verified when a received administrative record bundle has all status report request flags set to FALSE.\
